title,author,genres
Of Mice and Men,John Steinbeck,Classics Fiction School Historical Fiction Literature Read For School Novels High School American Classic Literature
The Time Traveler's Wife,Audrey Niffenegger (Goodreads Author),Fiction Romance Fantasy Time Travel ScienceFiction Contemporary Adult Chick Lit Adult Fiction Magical Realism
Dracula,Bram Stoker/ Nina Auerbach (Editor)/ David J. Skal (Editor),Classics Horror Fiction Fantasy Vampires Gothic Paranormal Literature Audiobook Supernatural
Brave New World,Aldous Huxley,Classics Fiction ScienceFiction Dystopia Literature Novels School Fantasy Philosophy ScienceFiction Fantasy
One Hundred Years of Solitude,Gabriel García Márquez/ Gregory Rabassa (Translator),Fiction Classics Magical Realism Literature Novels Fantasy Historical Fiction Spanish Literature Literary Fiction Latin American
The Catcher in the Rye,J.D. Salinger,Classics Fiction Young Adult Literature School Novels Coming Of Age American High School Read For School
The Princess Bride,William Goldman,Fantasy Fiction Classics Romance Humor Young Adult Adventure ScienceFiction Fantasy Comedy Fairy Tales
The Lightning Thief,Rick Riordan (Goodreads Author),Fantasy Young Adult Mythology Fiction Middle Grade Adventure Childrens Urban Fantasy Greek Mythology Magic
The Secret Garden,Frances Hodgson Burnett,Classics Fiction Childrens Young Adult Historical Fiction Middle Grade Literature Fantasy Historical Audiobook
A Thousand Splendid Suns,Khaled Hosseini (Goodreads Author),Fiction Historical Fiction Contemporary Novels Historical War Adult Fiction Adult Drama Literature
A Wrinkle in Time,Madeleine L'Engle,Fantasy Fiction Classics Young Adult ScienceFiction Childrens Middle Grade Time Travel Adventure ScienceFiction Fantasy
A Game of Thrones,George R.R. Martin,Fantasy Fiction Epic Fantasy Adult ScienceFiction Fantasy High Fantasy Adventure Dragons Audiobook Epic
The Adventures of Huckleberry Finn,Mark Twain/ Guy Cardwell (Notes)/ John Seelye (Introduction)/ Walter Trier (Ilustrator),Classics Fiction Historical Fiction Literature Young Adult Adventure School Novels Read For School American
The Lovely Bones,Alice Sebold,Fiction Mystery Young Adult Contemporary Fantasy Crime Adult Adult Fiction Drama Novels
The Outsiders,S.E. Hinton (Goodreads Author),Classics Young Adult Fiction School Realistic Fiction Read For School Coming Of Age Historical Fiction Contemporary Teen
Where the Wild Things Are,Maurice Sendak,Childrens Picture Books Fiction Classics Fantasy Adventure Young Adult Animals Kids Monsters
Green Eggs and Ham,Dr. Seuss,Childrens Picture Books Classics Fiction Poetry Fantasy Humor Kids Food Young Adult
The Odyssey,Homer/ Robert Fagles (Translator)/ Bernard Knox (Introduction),Classics Fiction Poetry Mythology Fantasy School Literature Adventure Read For School Historical Fiction
Life of Pi,Yann Martel,Fiction Fantasy Classics Adventure Contemporary Novels Literature Magical Realism India Philosophy
A Tale of Two Cities,Charles Dickens/ Richard Maxwell (Editor/Introduction),Classics Fiction Historical Fiction Literature Historical Novels School Classic Literature 19th Century British Literature
Water for Elephants,Sara Gruen (Goodreads Author),Fiction Historical Fiction Romance Historical Adult Adult Fiction Contemporary Book Club Novels Animals
Lolita,Vladimir Nabokov/ Craig Raine (Afterword),Classics Fiction Literature Novels Russia Romance Russian Literature Literary Fiction 20th Century Adult
Slaughterhouse-Five,Kurt Vonnegut Jr.,Classics Fiction ScienceFiction War Historical Fiction Literature Novels Time Travel American Fantasy
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley/ Charlotte Gordon (Goodreads Author) (Introduction),Classics Fiction Horror ScienceFiction Gothic Fantasy School Literature Novels 19th Century
The Kite Runner,Khaled Hosseini (Goodreads Author)/ Berliani M. Nugrahani (Translator),Fiction Historical Fiction Contemporary Classics Novels Historical Literature Adult Adult Fiction Drama
The Handmaid's Tale,Margaret Atwood (Goodreads Author),Fiction Classics Dystopia ScienceFiction Feminism Fantasy Adult Audiobook Literature Novels
The Giver,Lois Lowry (Goodreads Author),Young Adult Fiction Classics Dystopia ScienceFiction Fantasy School Childrens Middle Grade Read For School
Catch-22,Joseph Heller,Classics Fiction War Historical Fiction Humor Literature Novels Unfinished American Historical
Dune,Frank Herbert,ScienceFiction Fiction Fantasy Classics ScienceFiction Fantasy Space Opera Audiobook Novels Adventure Adult
The Pillars of the Earth,Ken Follett (Goodreads Author),Historical Fiction Fiction Historical Fantasy Classics Medieval Audiobook British Literature Novels Adult
The Stand,Stephen King (Goodreads Author)/ Bernie Wrightson (Illustrator),Horror Fiction Fantasy ScienceFiction Post Apocalyptic Thriller Dystopia Apocalyptic Audiobook Classics
The Adventures of Sherlock Holmes,Arthur Conan Doyle,Classics Mystery Fiction Short Stories Crime Detective Literature Mystery Thriller Adventure Audiobook
Watership Down,Richard Adams,Classics Fiction Fantasy Young Adult Animals Childrens Adventure Literature Novels Audiobook
Great Expectations,Charles Dickens/ Παυλίνα Παμπούδη (Translator)/ Marisa Sestino (Translator),Classics Fiction Literature Historical Fiction School Novels 19th Century Classic Literature British Literature Victorian
Little Women,Louisa May Alcott,Classics Fiction Historical Fiction Young Adult Romance Historical Literature Childrens Classic Literature Novels
The Bell Jar,Sylvia Plath,Classics Fiction Feminism Mental Health Psychology Mental Illness Literature Novels Poetry Adult
Harry Potter and the Deathly Hallows,J.K. Rowling,Fantasy Young Adult Fiction Magic Childrens Adventure Audiobook Middle Grade Classics ScienceFiction Fantasy
One Flew Over the Cuckoo's Nest,Ken Kesey,Classics Fiction Literature Psychology Novels School Mental Health American Mental Illness Contemporary
Anna Karenina,Leo Tolstoy/ Aylmer Maude (Translator)/ Lev Tolstoi/ Louise Maude (Translator)/ George Gibian (Preface),Classics Fiction Romance Russia Historical Fiction Literature Russian Literature Novels 19th Century Classic Literature
Outlander,Diana Gabaldon (Goodreads Author),Historical Fiction Romance Fantasy Fiction Time Travel Historical Historical Romance Adult Audiobook Scotland
My Sister's Keeper,Jodi Picoult (Goodreads Author),Fiction Contemporary Chick Lit Young Adult Drama Adult Adult Fiction Realistic Fiction Family Novels
Matilda,Roald Dahl/ Quentin Blake (Illustrator),Childrens Fiction Classics Fantasy Young Adult Middle Grade Humor Audiobook Magic Juvenile
The Fellowship of the Ring,J.R.R. Tolkien,Classics Adventure ScienceFiction Fantasy High Fantasy Epic Fantasy Young Adult Novels Magic Literature Audiobook
The Girl with the Dragon Tattoo,Stieg Larsson/ Reg Keeland (Translator),Fiction Mystery Suspense Contemporary Adult Adult Fiction Sweden Thriller Audiobook Crime
Rebecca,Daphne du Maurier,Classics Fiction Mystery Romance Gothic Historical Fiction Thriller Suspense Mystery Thriller Adult
1984,George Orwell,Classics Fiction ScienceFiction Dystopia Literature Novels Politics School Fantasy Adult
The Color Purple,Alice Walker,Classics Fiction Historical Fiction Feminism Historical LGBT African American Literature Novels Adult
A Tree Grows in Brooklyn,Betty Smith,Classics Fiction Historical Fiction Young Adult Coming Of Age Historical Literature New York Novels Book Club
A Clockwork Orange,Anthony Burgess,Classics Fiction ScienceFiction Dystopia Literature Novels Horror Thriller Crime Modern Classics
The Road,Cormac McCarthy,Fiction ScienceFiction Dystopia Post Apocalyptic Classics Horror Literature Novels Apocalyptic Contemporary
The Brothers Karamazov,Fyodor Dostoyevsky/ Fyodor Dostoyevsky/ Richard Pevear (Translator)/ Larissa Volokhonsky (Translator),Classics Fiction Russia Literature Russian Literature Philosophy Novels 19th Century Classic Literature Religion
Angela's Ashes,Frank McCourt,Nonfiction Memoir Biography Classics Ireland Autobiography Biography Memoir History Irish Literature Historical
Vampire Academy,Richelle Mead (Goodreads Author),Young Adult Fantasy Vampires Paranormal Romance Urban Fantasy Fiction Supernatural Paranormal Romance Magic
Siddhartha,Hermann Hesse/ Hilda Rosner (Translator),Classics Fiction Philosophy Religion Spirituality Literature Buddhism German Literature Novels Historical Fiction
The Poisonwood Bible,Barbara Kingsolver,Fiction Historical Fiction Africa Classics Historical Literary Fiction Literature Novels Religion Adult Fiction
The Golden Compass,Philip Pullman,Fantasy Young Adult Fiction Childrens Adventure ScienceFiction ScienceFiction Fantasy Steampunk Middle Grade Audiobook
Don Quixote,Miguel de Cervantes Saavedra/ John Rutherford (Translator)/ Roberto González Echevarría (Introduction),Classics Fiction Literature Spanish Literature Adventure Novels Historical Fiction Spain Humor Classic Literature
Atlas Shrugged,Ayn Rand/ Leonard Peikoff (Goodreads Author) (Introduction),Classics Philosophy Literature Politics ScienceFiction Dystopia Economics Novels Audiobook Fiction
Harry Potter and the Prisoner of Azkaban,J.K. Rowling/ Mary GrandPré (Illustrator),Fantasy Young Adult Fiction Magic Childrens Adventure Middle Grade Audiobook Classics ScienceFiction Fantasy
The Old Man and the Sea,Ernest Hemingway,Classics Fiction Literature Novels American School Adventure Classic Literature Literary Fiction 20th Century
The Notebook,Nicholas Sparks (Goodreads Author),Romance Fiction Chick Lit Contemporary Adult Adult Fiction Contemporary Romance Love Drama Classics
Winnie-the-Pooh,A.A. Milne/ Ernest H. Shepard (Illustrator),Classics Childrens Fiction Fantasy Animals Picture Books Young Adult Audiobook Middle Grade Juvenile
The Complete Stories and Poems,Edgar Allan Poe,Classics Poetry Horror Fiction Short Stories Mystery Gothic Literature Fantasy Classic Literature
Interview with the Vampire,Anne Rice,Horror Fantasy Fiction Vampires Paranormal Supernatural Classics Gothic Urban Fantasy Historical Fiction
A Prayer for Owen Meany,John Irving (Goodreads Author),Fiction Classics Contemporary Literature Literary Fiction Novels Historical Fiction Adult Fiction Coming Of Age American
Moby-Dick or/ the Whale,Herman Melville/ Andrew Delbanco (Introduction)/ Tom Quirk (Notes)/ Rockwell Kent (Illustrator),Classics Fiction Literature Adventure Novels Historical Fiction American Classic Literature 19th Century Unfinished
The Red Tent,Anita Diamant (Goodreads Author),Historical Fiction Fiction Historical Religion Book Club Feminism Adult Adult Fiction Womens Novels
The Secret Life of Bees,Sue Monk Kidd (Goodreads Author),Fiction Historical Fiction Young Adult Classics Adult Fiction Historical Contemporary Adult Coming Of Age Chick Lit
Harry Potter and the Goblet of Fire,J.K. Rowling/ Mary GrandPré (Illustrator),Fantasy Young Adult Fiction Magic Childrens Adventure Audiobook Middle Grade Classics ScienceFiction Fantasy
Clockwork Angel,Cassandra Clare (Goodreads Author)/ Rita Sussekind (Translator),Fantasy Young Adult Paranormal Romance Steampunk Historical Fiction Fiction Urban Fantasy Vampires Angels
Harry Potter and the Half-Blood Prince,J.K. Rowling,Fantasy Young Adult Fiction Magic Childrens Adventure Audiobook Middle Grade Classics ScienceFiction Fantasy
And Then There Were None,Agatha Christie,Mystery Classics Fiction Crime Thriller Mystery Thriller Audiobook Adult Suspense Novels
Middlesex,Jeffrey Eugenides,Fiction Historical Fiction Contemporary LGBT Literary Fiction Novels Classics Literature Queer Adult
The Stranger,Albert Camus/ Matthew Ward (Translator),Classics Fiction Philosophy France Literature Novels French Literature School 20th Century Literary Fiction
The Master and Margarita,Mikhail Bulgakov/ Katherine Tiernan O'Connor (Translator)/ Ellendea Proffer (Annotations and Afterword)/ Diana Lewis Burgin (Translator),Classics Fiction Russia Fantasy Russian Literature Magical Realism Literature Novels Historical Fiction 20th Century
The Name of the Wind,Patrick Rothfuss (Goodreads Author),Fantasy Fiction Epic Fantasy High Fantasy Magic ScienceFiction Fantasy Adult Adventure Audiobook Epic
The Shining,Stephen King (Goodreads Author),Horror Fiction Thriller Classics Fantasy Mystery Paranormal Suspense Novels Adult
The Adventures of Tom Sawyer,Mark Twain/ Guy Cardwell (Annotations)/ John Seelye (Introduction),Classics Fiction Adventure Young Adult Historical Fiction Literature Childrens School Novels American
Eragon,Christopher Paolini (Goodreads Author),Fantasy Young Adult Fiction Dragons Adventure Magic High Fantasy ScienceFiction Fantasy Young Adult Fantasy Childrens
Charlie and the Chocolate Factory,Roald Dahl/ Quentin Blake (Illustrations),Childrens Fantasy Fiction Classics Young Adult Middle Grade Humor Adventure Juvenile Novels
Flowers for Algernon,Daniel Keyes,Fiction Classics ScienceFiction Young Adult Literature Psychology School Novels Adult Read For School
On the Road,Jack Kerouac,Classics Fiction Travel Literature Novels American Adventure 20th Century Unfinished Modern Classics
The Metamorphosis,Franz Kafka/ Stanley Corngold (Translator)/ Mircea Ivănescu (Translator),Classics Fiction Fantasy Literature Short Stories Philosophy School German Literature Horror Novels
Looking for Alaska,John Green (Goodreads Author),Young Adult Fiction Contemporary Romance Realistic Fiction Coming Of Age Teen Mystery Young Adult Contemporary High School
The Shadow of the Wind,Carlos Ruiz Zafón/ Lucia Graves (Translator),Fiction Historical Fiction Mystery Fantasy Books About Books Historical Spain Spanish Literature Gothic Magical Realism
The Curious Incident of the Dog in the Night-Time,Mark Haddon,Fiction Mystery Young Adult Contemporary Novels Classics Psychology Literature Realistic Fiction Adult Fiction
The Very Hungry Caterpillar,Eric Carle,Picture Books Childrens Fiction Classics Animals Food Counting Storytime Kids Mathematics
Tuesdays with Morrie,Mitch Albom (Goodreads Author),Nonfiction Memoir Biography Inspirational Classics Philosophy Self Help Contemporary Adult Biography Memoir
The Unbearable Lightness of Being,Milan Kundera/ Michael Henry Heim (Translator),Fiction Classics Philosophy Literature Novels Czech Literature Romance Contemporary Literary Fiction 20th Century
The Name of the Rose,Umberto Eco/ William Weaver (Translator),Fiction Historical Fiction Mystery Classics Historical Literature Crime Italian Literature Italy Novels
Where the Red Fern Grows,Wilson Rawls,Classics Fiction Young Adult Childrens Animals Historical Fiction Middle Grade School Realistic Fiction Read For School
Harry Potter and the Chamber of Secrets,J.K. Rowling/ Mary GrandPré (Illustrator),Fantasy Young Adult Fiction Magic Childrens Middle Grade Adventure Audiobook Classics ScienceFiction Fantasy
The Godfather,Mario Puzo/ Robert Thompson (Introduction)/ Peter Bart (Afterword),Fiction Classics Crime Thriller Historical Fiction Mystery Drama Novels Literature American
The Scarlet Letter,Nathaniel Hawthorne/ Thomas E. Connolly (Annotations)/ Nina Baym (Introduction),Classics Fiction Historical Fiction School Literature High School Read For School Historical Classic Literature American
In Cold Blood,Truman Capote,Nonfiction Classics True Crime Crime Mystery History Literature Thriller American Biography
Fight Club,Chuck Palahniuk (Goodreads Author),Fiction Contemporary Classics Thriller Novels Mystery Adult Literature American Adult Fiction
The Five People You Meet in Heaven,Mitch Albom (Goodreads Author),Fiction Inspirational Contemporary Fantasy Adult Spirituality Classics Adult Fiction Philosophy Novels
Hush/ Hush,Becca Fitzpatrick (Goodreads Author),Young Adult Fantasy Romance Paranormal Angels Paranormal Romance Supernatural Fiction Urban Fantasy Young Adult Fantasy
American Gods,Neil Gaiman (Goodreads Author),Fantasy Fiction Urban Fantasy Mythology Audiobook ScienceFiction ScienceFiction Fantasy Adult Contemporary Novels
The Count of Monte Cristo,Alexandre Dumas/ Robin Buss (Translator),Classics Fiction Historical Fiction Adventure Literature France Historical Classic Literature Novels Romance
Lonesome Dove,Larry McMurtry,Fiction Historical Fiction Westerns Classics Historical Adventure Novels Literature Audiobook American
Perfume: The Story of a Murderer,Patrick Süskind/ John E. Woods (Translator),Fiction Classics Historical Fiction Horror Mystery Thriller Crime Historical German Literature Novels
Holes,Louis Sachar (Goodreads Author),Young Adult Fiction Childrens Middle Grade Realistic Fiction Classics Mystery Adventure School Contemporary
The Lion/ the Witch and the Wardrobe,C.S. Lewis,Fantasy Classics Fiction Young Adult Childrens Adventure Middle Grade Christian Magic Christian Fiction
Watchmen,Alan Moore (Goodreads Author)/ Dave Gibbons (Illustrator/Letterer)/ John Higgins (Colorist),Graphic Novels Comics Fiction ScienceFiction Fantasy Graphic Novels Comics Comic Book Classics Superheroes Dystopia
It,Stephen King (Goodreads Author),Horror Fiction Thriller Fantasy Audiobook Mystery Adult Paranormal Classics Novels
The Last Olympian,Rick Riordan (Goodreads Author),Fantasy Young Adult Mythology Fiction Middle Grade Adventure Childrens Greek Mythology Urban Fantasy Magic
The Little House Collection,Laura Ingalls Wilder/ Garth Williams (Illustrator),Classics Historical Fiction Childrens Fiction Young Adult Historical Middle Grade Juvenile Literature Kids
The Divine Comedy,Dante Alighieri/ Allen Mandelbaum (Translator)/ Eugenio Montale (Introduction),Classics Poetry Fiction Literature Religion Philosophy Fantasy Italian Literature Italy Classic Literature
Peter Pan,J.M. Barrie/ Michael Hague (Illustrator),Classics Fantasy Fiction Childrens Adventure Young Adult Audiobook Middle Grade Fairy Tales Literature
The Hobbit/ or There and Back Again,J.R.R. Tolkien,Fantasy Classics Fiction Adventure Young Adult ScienceFiction Fantasy High Fantasy Childrens Epic Fantasy Novels
The Compleat Works of Wllm Shkspr (abridged),Reduced Shakespeare Company/ Adam Long (Contributor)/ Daniel Singer (Contributor)/ Jess Winfield (Editor),Plays Classics Humor Fiction Drama Theatre Comedy Poetry Literature Adult
Love in the Time of Cholera,Gabriel García Márquez/ Edith Grossman (Translator),Fiction Classics Historical Fiction Romance Magical Realism Literature Novels Spanish Literature Literary Fiction Historical
Shadow Kiss,Richelle Mead (Goodreads Author),Young Adult Vampires Fantasy Paranormal Romance Urban Fantasy Paranormal Romance Supernatural Fiction Magic
Insurgent,Veronica Roth (Goodreads Author),Young Adult Dystopia Fiction Fantasy ScienceFiction Romance Adventure Teen Post Apocalyptic Action
The Thorn Birds,Colleen McCullough,Fiction Historical Fiction Romance Classics Australia Historical Historical Romance Novels Drama Adult
A Walk to Remember,Nicholas Sparks (Goodreads Author),Romance Fiction Chick Lit Contemporary Young Adult Adult Adult Fiction Drama Contemporary Romance Love
How the Grinch Stole Christmas!,Dr. Seuss,Childrens Picture Books Christmas Classics Fiction Poetry Holiday Fantasy Humor Kids
The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,ScienceFiction Fiction Humor Fantasy Classics Comedy ScienceFiction Fantasy Adventure Novels British Literature
Atonement,Ian McEwan,Fiction Historical Fiction Romance Classics Historical War Literary Fiction Contemporary Literature Novels
The Importance of Being Earnest,Oscar Wilde,Classics Plays Fiction Drama Humor Literature School Comedy Theatre Romance
Eat/ Pray/ Love,Elizabeth Gilbert (Goodreads Author),Nonfiction Memoir Travel Biography Chick Lit Romance Spirituality Contemporary Biography Memoir Autobiography
Their Eyes Were Watching God,Zora Neale Hurston,Classics Fiction Historical Fiction School African American Literature Novels Feminism Read For School High School
The Three Musketeers,Alexandre Dumas,Classics Fiction Historical Fiction Adventure France Literature Historical French Literature Classic Literature Novels
The Wonderful Wizard of Oz,L. Frank Baum/ W.W. Denslow (Illustrator),Classics Fantasy Fiction Childrens Young Adult Adventure Audiobook Middle Grade Magic Literature
Frostbite,Richelle Mead (Goodreads Author),Young Adult Vampires Fantasy Paranormal Romance Urban Fantasy Paranormal Romance Supernatural Fiction Magic
Goodnight Moon,Margaret Wise Brown/ Clement Hurd (Illustrator),Childrens Picture Books Classics Fiction Poetry Kids Animals Juvenile Young Adult Storytime
The Lorax,Dr. Seuss,Childrens Picture Books Fiction Classics Poetry Fantasy Environment Young Adult Kids Juvenile
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter/ Witch,Terry Pratchett/ Neil Gaiman (Goodreads Author),Fantasy Fiction Humor Urban Fantasy Comedy Audiobook ScienceFiction Fantasy Adult ScienceFiction Supernatural
Blood Promise,Richelle Mead (Goodreads Author),Young Adult Vampires Fantasy Paranormal Romance Urban Fantasy Paranormal Romance Supernatural Fiction Magic
Tess of the D'Urbervilles,Thomas Hardy/ Margaret R. Higonnet (Introduction)/ Maria Grazia Griffini (Translator)/ Tim Dolin (Notes),Classics Fiction Romance Literature Historical Fiction 19th Century Victorian Classic Literature Novels British Literature
The Good Earth,Pearl S. Buck,Classics Fiction Historical Fiction China Literature Historical Asia Novels School Classic Literature
Heart of Darkness,Joseph Conrad/ Aníbal Fernandes (Translator),Classics Fiction Literature Africa Historical Fiction School Novels Read For School Adventure High School
The Battle of the Labyrinth,Rick Riordan (Goodreads Author),Fantasy Young Adult Mythology Fiction Middle Grade Adventure Childrens Greek Mythology Urban Fantasy Magic
A Midsummer Night's Dream,William Shakespeare/ Paul Werstine (Editor)/ Barbara A. Mowat (Editor)/ Catherine Belsey (Contributor),Classics Plays Fiction Drama Fantasy School Romance Literature Theatre Poetry
Clockwork Princess,Cassandra Clare (Goodreads Author),Fantasy Young Adult Romance Paranormal Steampunk Historical Fiction Urban Fantasy Angels Fiction Historical
The Prophet,Kahlil Gibran,Poetry Philosophy Classics Fiction Spirituality Religion Literature Inspirational Self Help Novels
The Mists of Avalon,Marion Zimmer Bradley,Fantasy Fiction Historical Fiction Arthurian Mythology ScienceFiction Fantasy Historical Classics Romance Magic
The Sea of Monsters,Rick Riordan (Goodreads Author),Fantasy Young Adult Mythology Fiction Middle Grade Adventure Childrens Urban Fantasy Greek Mythology Magic
The Joy Luck Club,Amy Tan (Goodreads Author),Fiction Historical Fiction Classics China Contemporary Adult Fiction Adult Literature Asia Novels
Alice in Wonderland,Jane Carruth (Adapted By)/ Lewis Carroll (Original Story By)/ Rene Cloke (Illustrator),Classics Fantasy Fiction Childrens Young Adult Adventure Literature Novels Classic Literature Middle Grade
The Call of the Wild,Jack London/ Avi (Introduction),Classics Fiction Adventure Young Adult Animals Historical Fiction Literature School Childrens Novels
Jonathan Livingston Seagull,Richard Bach (Goodreads Author)/ Russell Munson (Photographer),Fiction Classics Philosophy Fantasy Spirituality Inspirational Self Help Literature Novels Animals
Madame Bovary,Gustave Flaubert/ Mark Overstall (Contributor)/ Paul De Man (Editor)/ Malcolm Bowie (Introduction)/ Margaret Mauldon (Translator),Classics Fiction France Literature French Literature Romance 19th Century Novels Historical Fiction Classic Literature
The Phantom Tollbooth,Norton Juster/ Jules Feiffer (Illustrator),Fantasy Fiction Childrens Classics Young Adult Middle Grade Adventure Humor ScienceFiction Fantasy Juvenile
Bridge to Terabithia,Katherine Paterson,Young Adult Fiction Classics Childrens Fantasy Middle Grade Realistic Fiction School Juvenile Contemporary
The Hunger Games Trilogy Boxset,Suzanne Collins/ Guillaume Fournier (Translator)/ Pilar Ramírez Tello (Goodreads Author) (Translator)/ Hanna Hörl (Illustrator)/ Sylke Hachmeister (Translator)/ Peter Klöss (Translator),Young Adult Fiction Fantasy Dystopia ScienceFiction Romance Adventure Teen Action Novels
Oh/ the Places You'll Go!,Dr. Seuss,Childrens Picture Books Fiction Classics Poetry Fantasy Young Adult Inspirational Kids Humor
The Girl Who Played with Fire,Stieg Larsson/ Reg Keeland (Translator),Fiction Mystery Thriller Crime Mystery Thriller Suspense Contemporary Sweden Adult Audiobook
The Maze Runner,James Dashner (Goodreads Author),Young Adult Dystopia ScienceFiction Fiction Fantasy Adventure Post Apocalyptic Mystery Teen Audiobook
The Neverending Story,Michael Ende/ Ralph Manheim (Translator)/ Roswitha Quadflieg (Illustrator),Fantasy Classics Fiction Young Adult Childrens Adventure German Literature Middle Grade ScienceFiction Fantasy Books About Books
